Image,CentOS,,Rocky,Ubuntu,,Debian
,Binary,Source,Source,Binary,Source,Binary,Source
aodh,C,C,C,C,C,C,C
barbican,C,T,T,C,C,C,C
bifrost,N,T,T,N,C,N,C
blazar,N,C,C,N,C,N,C
ceilometer,C,C,C,C,C,C,C
cinder,C,T,T,C,T,C,C
cloudkitty,C,C,C,N,C,N,C
collectd,C,C,C,C,C,C,C
cron,T,T,T,T,T,C,T
cyborg,N,C,C,N,C,N,C
designate,C,C,C,C,C,C,C
dnsmasq,T,T,T,C,T,C,C
elasticsearch,C,C,C,C,C,C,C
etcd,C,T,T.C,T,C,C
fluentd,T,T,T,T,T,C,T
freezer,N,C,C,N,C,N,C
glance,T,T,T,T,T,C,T
gnocchi,C,C,C,C,C,C,C
grafana,C,C,C,C,C,C,C
hacluster,C,C,C,C,C,C,C
hacluster-pcs,N,N,N,C,C,C,C
haproxy,T,T,T,T,T,C,C
heat,T,T,T,N,T,C,T
horizon,T,T,T,T,T,C,T
influxdb,C,C,C,C,C,C,C
ironic,T,T,T,C,T,C,C
iscsid,T,T,T,T,T,C,C
kafka,C,C,C,C,C,C,C
keepalived,T,T,T,T,T,C,C
keystone,T,T,T,T,T,C,T
kibana,C,C,C,C,C,C,C
kolla-toolbox,T,T,T,T,T,C,T
kuryr,N,T,T,N,T,N,C
logstash,C,C,C,C,C,C,C
magnum,C,C,C,C,C,C,C
manila,C,C,C,C,C,C,C
mariadb,T,T,T,T,T,C,T
masakari,N,T,T,C,T,C,C
memcached,T,T,T,T,T,C,C
mistral,C,T,T,N,C,C,C
monasca,N,C,C,N,C,N,N
multipathd,C,C,C,C,C,C,C
murano,C,C,C,C,C,C,C
neutron,T,T,T,T,T,C,T
neutron-mlnx-agent,C,C,C,N,C,C,C
nova,T,T,T,T,T,C,T
nova-spicehtml5proxy,N,N,N,T,T,C,T
octavia,C,C,C,N,C,C,C
openvswitch,T,T,T,T,T,C,T
ovn,C,C,C,C,C,C,C
ovsdpdk,N,N,N,C,C,C,C
placement,T,T,T,T,T,C,T
prometheus,C,C,C,C,C,C,C
qdrouterd,C,C,C,N,N,N,N
rabbitmq,T,T,T,T,T,C,T
redis,C,T,T,C,C,C,C
sahara,C,C,C,C,C,C,C
senlin,C,C,C,C,C,C,C
skydive,C,C,C,C,C,C,C
solum,N,C,C,N,C,N,C
storm,C,C,C,C,C,C,C
swift,C,T,T,C,T,C,C
tacker,C,T,T,N,C,N,C
telegraf,C,C,C,C,C,C,N
tgtd,N,N,N,C,T,C,C
trove,C,C,C,C,C,N,C
vitrage,C,C,C,N,C,C,C
watcher,C,C,C,C,C,C,C
zookeeper,C,C,C,C,C,C,C
zun,N,T,T,N,T,N,C
